health_score_id,vendor_id,vendor_name,month,month_index,relationship_arc,payment_reliability_score,win_rate_score,admin_burden_score,forecast_accuracy_score,composite_health_score,trend_3mo,thin_data_flag,alert_flag,alert_reason
HS-V015-202404,V015,Nordic Steel AS,2024-04-01,3,stable,96.8,100.0,81.7,63.2,88.5,stable,False,False,
HS-V016-202404,V016,Precision Arc Systems,2024-04-01,3,stable,100.0,92.8,64.2,,88.2,stable,False,False,
HS-V017-202404,V017,Türk Makina A.Ş.,2024-04-01,3,stable,100.0,87.3,93.0,,95.7,improving,False,False,
HS-V018-202404,V018,Guangzhou Mech & Elec Co.,2024-04-01,3,collapse,93.4,45.0,100.0,,86.8,stable,False,False,
HS-V019-202404,V019,Emerald Isle Castings Ltd,2024-04-01,3,stable,90.1,100.0,96.5,98.6,94.5,improving,False,False,
HS-V020-202404,V020,Rajasthan Rare Earths Ltd,2024-04-01,3,improving,93.4,45.0,100.0,,86.8,stable,False,False,
HS-V001-202405,V001,Kovacs Precision GmbH,2024-05-01,4,declining,93.4,86.2,92.5,100.0,93.1,stable,False,False,
HS-V002-202405,V002,Tanaka Electrical KK,2024-05-01,4,stable,100.0,87.3,90.0,95.4,94.9,improving,False,False,
HS-V003-202405,V003,Patel Alloys Pvt Ltd,2024-05-01,4,improving,93.4,45.0,100.0,100.0,88.8,improving,False,False,
HS-V004-202405,V004,Strömberg Hydraulics AB,2024-05-01,4,stable,100.0,86.2,93.6,100.0,96.3,improving,False,False,
HS-V005-202405,V005,Cerro Negro Metals SA,2024-05-01,4,stable,95.6,100.0,45.0,,81.5,stable,False,False,
HS-V006-202405,V006,Bright Spark Electronics Ltd,2024-05-01,4,stable,94.0,87.3,59.4,,82.7,stable,False,False,
HS-V007-202405,V007,Nakamura Tooling Co.,2024-05-01,4,stable,97.4,59.5,88.0,100.0,89.8,improving,False,False,
HS-V008-202405,V008,Delta Composites Inc.,2024-05-01,4,stable,95.6,100.0,100.0,,97.7,improving,False,False,
HS-V009-202405,V009,Fischer & Söhne KG,2024-05-01,4,stable,100.0,100.0,93.6,100.0,98.4,improving,False,False,
HS-V010-202405,V010,Adriatic Fastenings d.o.o.,2024-05-01,4,stable,85.4,97.4,85.0,,87.4,stable,False,False,
HS-V011-202405,V011,Solaris Power Components,2024-05-01,4,stable,90.9,55.6,68.5,,78.1,stable,False,False,
HS-V012-202405,V012,Indra Copper Works,2024-05-01,4,improving,92.2,100.0,100.0,98.4,96.3,stable,False,False,
HS-V013-202405,V013,Vantage Sensors GmbH,2024-05-01,4,stable,100.0,100.0,89.6,92.5,96.3,stable,False,False,
HS-V014-202405,V014,Coastal Alloys Pty Ltd,2024-05-01,4,stable,93.4,45.0,100.0,,86.8,stable,False,False,
HS-V015-202405,V015,Nordic Steel AS,2024-05-01,4,stable,96.2,100.0,100.0,63.2,92.8,improving,False,False,
HS-V016-202405,V016,Precision Arc Systems,2024-05-01,4,stable,100.0,87.3,63.1,,86.9,declining,False,False,
HS-V017-202405,V017,Türk Makina A.Ş.,2024-05-01,4,stable,99.6,72.5,94.2,,93.2,improving,False,False,
HS-V018-202405,V018,Guangzhou Mech & Elec Co.,2024-05-01,4,collapse,93.4,45.0,100.0,,86.8,improving,False,False,
HS-V019-202405,V019,Emerald Isle Castings Ltd,2024-05-01,4,stable,90.4,84.3,97.7,98.6,92.5,improving,False,False,
HS-V020-202405,V020,Rajasthan Rare Earths Ltd,2024-05-01,4,improving,93.4,45.0,70.0,,78.0,stable,False,False,
HS-V021-202405,V021,Helios Micro Systems,2024-05-01,4,new_proving,93.4,45.0,25.0,,64.8,unknown,True,False,
HS-V022-202405,V022,Andean Precision SRL,2024-05-01,4,new_proving,93.4,45.0,75.8,,79.7,unknown,True,False,
HS-V023-202405,V023,Sahara Industrial FZE,2024-05-01,4,new_proving,93.4,50.0,70.0,,78.9,unknown,True,False,
HS-V024-202405,V024,BalticTech UAB,2024-05-01,4,new_proving,97.4,79.4,88.8,,91.7,unknown,True,False,
HS-V001-202406,V001,Kovacs Precision GmbH,2024-06-01,5,declining,93.4,80.9,89.6,100.0,91.6,stable,False,False,
HS-V002-202406,V002,Tanaka Electrical KK,2024-06-01,5,stable,98.0,89.4,89.6,95.4,94.2,improving,False,False,
HS-V003-202406,V003,Patel Alloys Pvt Ltd,2024-06-01,5,improving,93.4,45.0,100.0,100.0,88.8,improving,False,False,
HS-V004-202406,V004,Strömberg Hydraulics AB,2024-06-01,5,stable,100.0,95.0,91.8,100.0,97.2,stable,False,False,
HS-V005-202406,V005,Cerro Negro Metals SA,2024-06-01,5,stable,95.0,90.8,100.0,,95.8,stable,False,False,
HS-V006-202406,V006,Bright Spark Electronics Ltd,2024-06-01,5,stable,94.4,98.2,63.2,,85.9,stable,False,False,
HS-V007-202406,V007,Nakamura Tooling Co.,2024-06-01,5,stable,100.0,70.0,79.2,100.0,90.3,improving,False,False,
HS-V008-202406,V008,Delta Composites Inc.,2024-06-01,5,stable,95.0,90.8,100.0,,95.8,stable,False,False,
HS-V009-202406,V009,Fischer & Söhne KG,2024-06-01,5,stable,98.7,95.0,92.5,100.0,96.8,improving,False,False,
HS-V010-202406,V010,Adriatic Fastenings d.o.o.,2024-06-01,5,stable,86.6,90.8,94.2,,89.6,stable,False,False,
HS-V011-202406,V011,Solaris Power Components,2024-06-01,5,stable,91.3,53.9,62.7,,76.3,stable,False,False,
HS-V012-202406,V012,Indra Copper Works,2024-06-01,5,improving,92.2,90.8,82.5,98.4,90.5,stable,False,False,
HS-V013-202406,V013,Vantage Sensors GmbH,2024-06-01,5,stable,100.0,100.0,93.6,92.5,97.3,stable,False,False,
HS-V014-202406,V014,Coastal Alloys Pty Ltd,2024-06-01,5,stable,93.4,45.0,100.0,,86.8,stable,False,False,
HS-V015-202406,V015,Nordic Steel AS,2024-06-01,5,stable,99.6,100.0,100.0,63.2,94.3,improving,False,False,
HS-V016-202406,V016,Precision Arc Systems,2024-06-01,5,stable,100.0,98.2,66.5,,89.8,stable,False,False,
HS-V017-202406,V017,Türk Makina A.Ş.,2024-06-01,5,stable,98.4,70.0,95.0,,92.4,improving,False,False,
HS-V018-202406,V018,Guangzhou Mech & Elec Co.,2024-06-01,5,collapse,93.4,45.0,100.0,,86.8,improving,False,False,
HS-V019-202406,V019,Emerald Isle Castings Ltd,2024-06-01,5,stable,91.3,79.4,97.5,98.6,92.2,improving,False,False,
HS-V020-202406,V020,Rajasthan Rare Earths Ltd,2024-06-01,5,improving,90.4,90.8,100.0,,93.3,stable,False,False,
HS-V021-202406,V021,Helios Micro Systems,2024-06-01,5,new_proving,93.4,45.0,56.7,,74.1,improving,True,False,
HS-V022-202406,V022,Andean Precision SRL,2024-06-01,5,new_proving,90.4,75.6,81.9,,85.3,improving,True,False,
HS-V023-202406,V023,Sahara Industrial FZE,2024-06-01,5,new_proving,93.4,45.0,42.5,,69.9,declining,True,True,declining_trend
HS-V024-202406,V024,BalticTech UAB,2024-06-01,5,new_proving,96.8,70.0,90.0,,90.1,stable,True,False,
HS-V001-202407,V001,Kovacs Precision GmbH,2024-07-01,6,declining,87.3,78.0,90.0,100.0,88.5,stable,False,False,
HS-V002-202407,V002,Tanaka Electrical KK,2024-07-01,6,stable,97.9,82.2,87.1,85.1,90.9,declining,False,False,
HS-V003-202407,V003,Patel Alloys Pvt Ltd,2024-07-01,6,improving,93.4,45.0,100.0,100.0,88.8,stable,False,False,
HS-V004-202407,V004,Strömberg Hydraulics AB,2024-07-01,6,stable,100.0,90.8,93.9,98.8,96.9,stable,False,False,
HS-V005-202407,V005,Cerro Negro Metals SA,2024-07-01,6,stable,95.0,84.3,100.0,,94.6,stable,False,False,
HS-V006-202407,V006,Bright Spark Electronics Ltd,2024-07-01,6,stable,100.0,100.0,70.5,,91.3,stable,False,False,
HS-V007-202407,V007,Nakamura Tooling Co.,2024-07-01,6,stable,99.6,67.9,76.1,100.0,89.1,improving,False,False,
HS-V008-202407,V008,Delta Composites Inc.,2024-07-01,6,stable,95.0,84.3,100.0,,94.6,stable,False,False,
HS-V009-202407,V009,Fischer & Söhne KG,2024-07-01,6,stable,100.0,100.0,91.0,93.2,96.7,stable,False,False,
HS-V010-202407,V010,Adriatic Fastenings d.o.o.,2024-07-01,6,stable,87.8,87.3,97.1,,90.5,improving,False,False,
HS-V011-202407,V011,Solaris Power Components,2024-07-01,6,stable,91.8,52.4,63.3,,76.5,stable,False,False,
HS-V012-202407,V012,Indra Copper Works,2024-07-01,6,improving,97.4,100.0,88.3,100.0,95.9,stable,False,False,
HS-V013-202407,V013,Vantage Sensors GmbH,2024-07-01,6,stable,100.0,100.0,100.0,100.0,100.0,stable,False,False,
HS-V014-202407,V014,Coastal Alloys Pty Ltd,2024-07-01,6,stable,93.4,45.0,100.0,,86.8,stable,False,False,
HS-V015-202407,V015,Nordic Steel AS,2024-07-01,6,stable,98.4,100.0,100.0,84.2,96.9,improving,False,False,
HS-V016-202407,V016,Precision Arc Systems,2024-07-01,6,stable,100.0,100.0,66.0,,90.0,stable,False,False,
HS-V017-202407,V017,Türk Makina A.Ş.,2024-07-01,6,stable,97.2,68.9,100.0,,93.1,stable,False,False,
HS-V018-202407,V018,Guangzhou Mech & Elec Co.,2024-07-01,6,collapse,93.4,45.0,94.2,,85.1,stable,False,False,
HS-V019-202407,V019,Emerald Isle Castings Ltd,2024-07-01,6,stable,82.6,89.0,96.8,100.0,89.7,stable,False,False,
HS-V020-202407,V020,Rajasthan Rare Earths Ltd,2024-07-01,6,improving,90.9,84.3,82.5,100.0,89.2,stable,False,False,
HS-V021-202407,V021,Helios Micro Systems,2024-07-01,6,new_proving,94.4,84.3,69.5,,85.3,improving,True,False,
HS-V022-202407,V022,Andean Precision SRL,2024-07-01,6,new_proving,90.9,70.0,72.5,,81.8,stable,True,False,
HS-V023-202407,V023,Sahara Industrial FZE,2024-07-01,6,new_proving,93.4,45.0,55.0,,73.6,declining,True,True,
HS-V024-202407,V024,BalticTech UAB,2024-07-01,6,new_proving,96.2,66.2,86.8,,88.2,stable,True,False,
HS-V001-202408,V001,Kovacs Precision GmbH,2024-08-01,7,declining,81.1,74.5,87.1,100.0,84.5,stable,False,False,
HS-V002-202408,V002,Tanaka Electrical KK,2024-08-01,7,stable,96.9,83.4,91.5,85.1,91.8,declining,False,False,
HS-V003-202408,V003,Patel Alloys Pvt Ltd,2024-08-01,7,improving,94.3,45.0,88.3,100.0,86.3,stable,False,False,
HS-V004-202408,V004,Strömberg Hydraulics AB,2024-08-01,7,stable,99.4,85.7,100.0,98.8,97.4,stable,False,False,
HS-V005-202408,V005,Cerro Negro Metals SA,2024-08-01,7,stable,93.4,75.6,100.0,,92.2,improving,False,False,
HS-V006-202408,V006,Bright Spark Electronics Ltd,2024-08-01,7,stable,100.0,96.2,70.7,,90.7,improving,False,False,
HS-V007-202408,V007,Nakamura Tooling Co.,2024-08-01,7,stable,98.4,65.4,74.3,100.0,87.7,stable,False,False,
HS-V008-202408,V008,Delta Composites Inc.,2024-08-01,7,stable,93.4,75.6,100.0,,92.2,declining,False,False,
HS-V009-202408,V009,Fischer & Söhne KG,2024-08-01,7,stable,99.0,97.9,90.8,93.2,95.9,stable,False,False,
HS-V010-202408,V010,Adriatic Fastenings d.o.o.,2024-08-01,7,stable,97.0,100.0,100.0,,98.4,improving,False,False,
HS-V011-202408,V011,Solaris Power Components,2024-08-01,7,stable,96.2,57.8,65.0,,80.3,stable,False,False,
HS-V012-202408,V012,Indra Copper Works,2024-08-01,7,improving,97.7,100.0,93.0,100.0,97.2,stable,False,False,
HS-V013-202408,V013,Vantage Sensors GmbH,2024-08-01,7,stable,100.0,100.0,92.7,100.0,98.2,stable,False,False,
HS-V014-202408,V014,Coastal Alloys Pty Ltd,2024-08-01,7,stable,93.4,45.0,100.0,,86.8,stable,False,False,
HS-V015-202408,V015,Nordic Steel AS,2024-08-01,7,stable,100.0,100.0,100.0,84.2,97.6,improving,False,False,
HS-V016-202408,V016,Precision Arc Systems,2024-08-01,7,stable,100.0,96.2,66.4,,89.4,stable,False,False,
HS-V017-202408,V017,Türk Makina A.Ş.,2024-08-01,7,stable,96.6,67.0,45.0,,76.2,declining,False,True,
HS-V018-202408,V018,Guangzhou Mech & Elec Co.,2024-08-01,7,collapse,93.4,45.0,91.1,,84.2,stable,False,False,
HS-V019-202408,V019,Emerald Isle Castings Ltd,2024-08-01,7,stable,84.2,84.3,100.0,100.0,90.6,stable,False,False,
HS-V020-202408,V020,Rajasthan Rare Earths Ltd,2024-08-01,7,improving,92.2,75.6,76.7,100.0,87.0,improving,False,False,
HS-V021-202408,V021,Helios Micro Systems,2024-08-01,7,new_proving,98.3,86.2,79.4,,90.6,improving,True,False,
HS-V022-202408,V022,Andean Precision SRL,2024-08-01,7,new_proving,83.3,84.3,69.2,,79.3,stable,True,False,
HS-V023-202408,V023,Sahara Industrial FZE,2024-08-01,7,new_proving,97.4,100.0,61.0,,87.2,stable,True,False,
HS-V024-202408,V024,BalticTech UAB,2024-08-01,7,new_proving,95.6,63.3,75.0,,83.9,declining,True,False,
HS-V001-202409,V001,Kovacs Precision GmbH,2024-09-01,8,declining,75.0,71.6,81.7,100.0,79.9,declining,False,True,
HS-V002-202409,V002,Tanaka Electrical KK,2024-09-01,8,stable,100.0,86.8,90.3,85.1,93.4,declining,False,False,
HS-V003-202409,V003,Patel Alloys Pvt Ltd,2024-09-01,8,improving,95.1,45.0,94.2,100.0,88.1,stable,False,False,
HS-V004-202409,V004,Strömberg Hydraulics AB,2024-09-01,8,stable,94.2,90.8,95.6,98.8,94.8,stable,False,False,
HS-V005-202409,V005,Cerro Negro Metals SA,2024-09-01,8,stable,93.4,64.6,95.0,,88.8,improving,False,False,
HS-V006-202409,V006,Bright Spark Electronics Ltd,2024-09-01,8,stable,100.0,92.8,67.5,,89.2,improving,False,False,
HS-V007-202409,V007,Nakamura Tooling Co.,2024-09-01,8,stable,89.2,72.5,75.8,100.0,85.0,stable,False,False,
HS-V008-202409,V008,Delta Composites Inc.,2024-09-01,8,stable,97.4,84.3,90.8,,93.2,declining,False,False,
HS-V009-202409,V009,Fischer & Söhne KG,2024-09-01,8,stable,98.2,94.1,82.0,93.2,92.8,stable,False,False,
HS-V010-202409,V010,Adriatic Fastenings d.o.o.,2024-09-01,8,stable,97.0,98.2,100.0,,98.1,improving,False,False,
HS-V011-202409,V011,Solaris Power Components,2024-09-01,8,stable,99.6,62.9,69.0,,84.2,stable,False,False,
HS-V012-202409,V012,Indra Copper Works,2024-09-01,8,improving,97.9,84.3,87.1,100.0,93.5,stable,False,False,
HS-V013-202409,V013,Vantage Sensors GmbH,2024-09-01,8,stable,100.0,100.0,91.5,100.0,97.9,stable,False,False,
HS-V014-202409,V014,Coastal Alloys Pty Ltd,2024-09-01,8,stable,97.4,64.6,88.3,,89.0,stable,False,False,
HS-V015-202409,V015,Nordic Steel AS,2024-09-01,8,stable,100.0,100.0,90.8,84.2,95.3,improving,False,False,
HS-V016-202409,V016,Precision Arc Systems,2024-09-01,8,stable,100.0,92.8,65.4,,88.6,stable,False,False,
HS-V017-202409,V017,Türk Makina A.Ş.,2024-09-01,8,stable,95.0,64.6,81.7,,85.7,declining,False,False,
HS-V018-202409,V018,Guangzhou Mech & Elec Co.,2024-09-01,8,collapse,93.4,45.0,86.7,,82.9,stable,False,False,
HS-V019-202409,V019,Emerald Isle Castings Ltd,2024-09-01,8,stable,90.6,89.4,92.1,100.0,92.2,stable,False,False,
HS-V020-202409,V020,Rajasthan Rare Earths Ltd,2024-09-01,8,improving,100.0,100.0,68.0,100.0,92.0,improving,False,False,
HS-V021-202409,V021,Helios Micro Systems,2024-09-01,8,new_proving,97.5,80.9,84.3,,90.7,improving,True,False,
HS-V022-202409,V022,Andean Precision SRL,2024-09-01,8,new_proving,85.0,79.4,63.0,,77.5,stable,True,False,
HS-V023-202409,V023,Sahara Industrial FZE,2024-09-01,8,new_proving,96.8,72.5,67.1,,83.8,stable,True,False,
HS-V024-202409,V024,BalticTech UAB,2024-09-01,8,new_proving,95.0,60.3,75.0,,83.0,declining,True,False,
HS-V001-202410,V001,Kovacs Precision GmbH,2024-10-01,9,declining,60.9,77.4,86.2,100.0,75.6,declining,False,True,
HS-V002-202410,V002,Tanaka Electrical KK,2024-10-01,9,stable,93.5,84.3,92.5,70.7,88.5,stable,False,False,
HS-V003-202410,V003,Patel Alloys Pvt Ltd,2024-10-01,9,improving,91.0,45.0,88.8,95.4,84.2,stable,False,False,
HS-V004-202410,V004,Strömberg Hydraulics AB,2024-10-01,9,stable,87.6,85.4,92.2,81.5,87.5,declining,False,False,
HS-V005-202410,V005,Cerro Negro Metals SA,2024-10-01,9,stable,92.5,75.6,96.1,,90.6,stable,False,False,
HS-V006-202410,V006,Bright Spark Electronics Ltd,2024-10-01,9,stable,89.3,100.0,65.6,,84.2,stable,False,False,
HS-V007-202410,V007,Nakamura Tooling Co.,2024-10-01,9,stable,84.9,70.0,75.8,100.0,82.7,declining,False,False,
HS-V008-202410,V008,Delta Composites Inc.,2024-10-01,9,stable,91.9,75.6,93.9,,89.6,declining,False,False,
HS-V009-202410,V009,Fischer & Söhne KG,2024-10-01,9,stable,95.1,96.6,81.9,78.4,89.5,declining,False,False,
HS-V010-202410,V010,Adriatic Fastenings d.o.o.,2024-10-01,9,stable,90.9,92.1,100.0,,93.8,improving,False,False,
HS-V011-202410,V011,Solaris Power Components,2024-10-01,9,stable,94.7,61.8,67.8,,81.0,improving,False,False,
HS-V012-202410,V012,Indra Copper Works,2024-10-01,9,improving,100.0,100.0,91.0,100.0,97.8,stable,False,False,
HS-V013-202410,V013,Vantage Sensors GmbH,2024-10-01,9,stable,94.6,100.0,76.5,100.0,91.7,stable,False,False,
HS-V014-202410,V014,Coastal Alloys Pty Ltd,2024-10-01,9,stable,95.9,75.6,91.2,,91.0,stable,False,False,
HS-V015-202410,V015,Nordic Steel AS,2024-10-01,9,stable,96.3,100.0,86.2,100.0,94.9,stable,False,False,
HS-V016-202410,V016,Precision Arc Systems,2024-10-01,9,stable,96.1,89.9,65.0,,85.9,stable,False,False,
