forecast_id,vendor_id,forecast_date,forecast_quarter,horizon_start,horizon_end,forecast_value_usd,actual_value_usd,accuracy_pct,meridian_stress,month_index
FC-0035,V004,2024-10-09,2024-Q4,2024-12-30,2025-03-30,130528.53,90191.9,69.1,0.03,9
FC-0036,V007,2024-10-09,2024-Q4,2024-12-30,2025-03-30,112870.74,77566.65,68.7,0.03,9
FC-0037,V009,2024-10-15,2024-Q4,2024-12-30,2025-03-30,134292.99,107759.37,80.2,0.03,9
FC-0038,V012,2024-10-11,2024-Q4,2024-12-30,2025-03-30,105077.45,86389.11,82.2,0.03,9
FC-0039,V013,2024-10-10,2024-Q4,2024-12-30,2025-03-30,87133.69,74953.12,86.0,0.03,9
FC-0040,V015,2024-10-16,2024-Q4,2024-12-30,2025-03-30,133270.34,109735.84,82.3,0.03,9
FC-0041,V019,2024-10-08,2024-Q4,2024-12-30,2025-03-30,112145.81,93068.84,83.0,0.03,9
FC-0042,V020,2024-10-11,2024-Q4,2024-12-30,2025-03-30,122592.36,81162.93,66.2,0.03,9
FC-0043,V001,2025-01-13,2025-Q1,2025-04-01,2025-06-30,67735.1,65613.98,96.9,-0.02,12
FC-0044,V002,2025-01-11,2025-Q1,2025-04-01,2025-06-30,76260.14,63541.43,83.3,-0.02,12
FC-0045,V003,2025-01-15,2025-Q1,2025-04-01,2025-06-30,67491.21,62944.98,93.3,-0.02,12
FC-0046,V004,2025-01-15,2025-Q1,2025-04-01,2025-06-30,69501.38,51424.53,74.0,-0.02,12
FC-0047,V007,2025-01-09,2025-Q1,2025-04-01,2025-06-30,74413.2,61814.03,83.1,-0.02,12
FC-0048,V009,2025-01-15,2025-Q1,2025-04-01,2025-06-30,92109.26,85241.71,92.5,-0.02,12
FC-0049,V012,2025-01-11,2025-Q1,2025-04-01,2025-06-30,64680.06,55122.54,85.2,-0.02,12
FC-0050,V013,2025-01-14,2025-Q1,2025-04-01,2025-06-30,64841.13,51203.9,79.0,-0.02,12
FC-0051,V015,2025-01-12,2025-Q1,2025-04-01,2025-06-30,75459.01,72047.14,95.5,-0.02,12
FC-0052,V019,2025-01-06,2025-Q1,2025-04-01,2025-06-30,98969.8,74849.56,75.6,-0.02,12
FC-0053,V020,2025-01-13,2025-Q1,2025-04-01,2025-06-30,81502.4,69143.85,84.8,-0.02,12
FC-0054,V001,2025-04-12,2025-Q2,2025-06-30,2025-09-28,1294.29,1079.07,83.4,0.025,15
FC-0055,V002,2025-04-14,2025-Q2,2025-06-30,2025-09-28,963.95,915.9,95.0,0.025,15
FC-0056,V003,2025-04-15,2025-Q2,2025-06-30,2025-09-28,961.87,717.39,74.6,0.025,15
FC-0057,V004,2025-04-13,2025-Q2,2025-06-30,2025-09-28,1201.0,913.22,76.0,0.025,15
FC-0058,V007,2025-04-10,2025-Q2,2025-06-30,2025-09-28,1228.4,917.52,74.7,0.025,15
FC-0059,V009,2025-04-09,2025-Q2,2025-06-30,2025-09-28,796.58,638.52,80.2,0.025,15
FC-0060,V012,2025-04-10,2025-Q2,2025-06-30,2025-09-28,1124.45,932.77,83.0,0.025,15
FC-0061,V013,2025-04-07,2025-Q2,2025-06-30,2025-09-28,1256.34,1092.97,87.0,0.025,15
FC-0062,V015,2025-04-14,2025-Q2,2025-06-30,2025-09-28,1228.12,1035.29,84.3,0.025,15
FC-0063,V019,2025-04-07,2025-Q2,2025-06-30,2025-09-28,1282.0,952.15,74.3,0.025,15
FC-0064,V020,2025-04-07,2025-Q2,2025-06-30,2025-09-28,1275.43,1081.02,84.8,0.025,15
