payment_id,po_id,vendor_id,po_value_usd,payment_terms,due_date,actual_payment_date,days_late,days_early,payment_status,meridian_stress_index,month_index
PAY-PO-RFQ-0054-V006,PO-RFQ-0054-V006,V006,34174.0,Net45,2024-07-19,2024-07-23,4,0,slightly_late,0.0,5
PAY-PO-RFQ-0055-V006,PO-RFQ-0055-V006,V006,164557.68,LC at sight,2024-06-08,2024-06-03,0,5,on_time,0.0,5
PAY-PO-RFQ-0056-V016,PO-RFQ-0056-V016,V016,160864.2,2/10 Net30,2024-07-05,2024-07-03,0,2,on_time,0.0,5
PAY-PO-RFQ-0057-V004,PO-RFQ-0057-V004,V004,34257.12,2/10 Net30,2024-07-04,2024-06-29,0,5,on_time,0.0,5
PAY-PO-RFQ-0058-V015,PO-RFQ-0058-V015,V015,45520.86,Net45,2024-07-21,2024-07-17,0,4,on_time,0.0,5
PAY-PO-RFQ-0059-V002,PO-RFQ-0059-V002,V002,52794.88,Net30,2024-07-02,2024-07-05,3,0,slightly_late,0.0,5
PAY-PO-RFQ-0060-V022,PO-RFQ-0060-V022,V022,24251.5,Net30,2024-07-04,2024-07-11,7,0,slightly_late,0.0,5
PAY-PO-RFQ-0061-V020,PO-RFQ-0061-V020,V020,2752.8,2/10 Net30,2024-07-06,2024-07-07,1,0,slightly_late,0.0,5
PAY-PO-RFQ-0062-V019,PO-RFQ-0062-V019,V019,11086.92,Net45,2024-08-17,2024-09-06,20,0,late,0.0,6
PAY-PO-RFQ-0063-V006,PO-RFQ-0063-V006,V006,162048.59,Net45,2024-08-23,2024-08-22,0,1,on_time,0.0,6
PAY-PO-RFQ-0064-V021,PO-RFQ-0064-V021,V021,5745.04,Net30,2024-08-08,2024-08-03,0,5,on_time,0.0,6
PAY-PO-RFQ-0065-V009,PO-RFQ-0065-V009,V009,41812.4,2/10 Net30,2024-08-02,2024-08-01,0,1,on_time,0.0,6
PAY-PO-RFQ-0066-V016,PO-RFQ-0066-V016,V016,144298.0,LC at sight,2024-07-07,2024-07-07,0,0,on_time,0.0,6
PAY-PO-RFQ-0067-V006,PO-RFQ-0067-V006,V006,32534.6,2/10 Net30,2024-08-06,2024-08-04,0,2,on_time,0.0,6
PAY-PO-RFQ-0068-V016,PO-RFQ-0068-V016,V016,69412.65,LC at sight,2024-07-06,2024-07-02,0,4,on_time,0.0,6
PAY-PO-RFQ-0069-V021,PO-RFQ-0069-V021,V021,6351.4,Net60,2024-09-05,2024-09-10,5,0,slightly_late,0.0,6
PAY-PO-RFQ-0070-V012,PO-RFQ-0070-V012,V012,12049.8,LC at sight,2024-07-04,2024-07-03,0,1,on_time,0.0,6
PAY-PO-RFQ-0071-V022,PO-RFQ-0071-V022,V022,27992.14,LC at sight,2024-08-05,2024-09-02,28,0,late,0.0,7
PAY-PO-RFQ-0072-V015,PO-RFQ-0072-V015,V015,68580.38,Net45,2024-09-18,2024-09-14,0,4,on_time,0.0,7
PAY-PO-RFQ-0073-V013,PO-RFQ-0073-V013,V013,56770.32,2/10 Net30,2024-08-31,2024-08-28,0,3,on_time,0.0,7
PAY-PO-RFQ-0074-V002,PO-RFQ-0074-V002,V002,7239.78,Net60,2024-10-07,2024-10-04,0,3,on_time,0.0,7
PAY-PO-RFQ-0075-V021,PO-RFQ-0075-V021,V021,26135.2,LC at sight,2024-08-06,2024-08-04,0,2,on_time,0.0,7
PAY-PO-RFQ-0076-V011,PO-RFQ-0076-V011,V011,265848.85,2/10 Net30,2024-09-04,2024-09-03,0,1,on_time,0.0,7
PAY-PO-RFQ-0077-V013,PO-RFQ-0077-V013,V013,75023.9,Net30,2024-09-06,2024-09-02,0,4,on_time,0.0,7
PAY-PO-RFQ-0078-V023,PO-RFQ-0078-V023,V023,83693.84,Net60,2024-10-04,2024-10-02,0,2,on_time,0.0,7
PAY-PO-RFQ-0079-V013,PO-RFQ-0079-V013,V013,15988.5,Net45,2024-09-16,2024-09-22,6,0,slightly_late,0.0,7
PAY-PO-RFQ-0080-V010,PO-RFQ-0080-V010,V010,3855.36,Net45,2024-09-18,2024-09-16,0,2,on_time,0.0,7
PAY-PO-RFQ-0081-V010,PO-RFQ-0081-V010,V010,37237.37,2/10 Net30,2024-09-03,2024-09-02,0,1,on_time,0.0,7
PAY-PO-RFQ-0082-V020,PO-RFQ-0082-V020,V020,2959.45,Net30,2024-10-02,2024-09-27,0,5,on_time,0.0,8
PAY-PO-RFQ-0083-V011,PO-RFQ-0083-V011,V011,200185.02,2/10 Net30,2024-10-05,2024-09-30,0,5,on_time,0.0,8
PAY-PO-RFQ-0084-V013,PO-RFQ-0084-V013,V013,160394.58,2/10 Net30,2024-10-06,2024-10-04,0,2,on_time,0.0,8
PAY-PO-RFQ-0085-V014,PO-RFQ-0085-V014,V014,93564.33,Net60,2024-11-04,2024-11-02,0,2,on_time,0.0,8
PAY-PO-RFQ-0086-V004,PO-RFQ-0086-V004,V004,5035.02,Net45,2024-10-16,2024-10-17,1,0,slightly_late,0.0,8
PAY-PO-RFQ-0087-V007,PO-RFQ-0087-V007,V007,10111.27,LC at sight,2024-09-02,2024-09-28,26,0,late,0.0,8
PAY-PO-RFQ-0088-V008,PO-RFQ-0088-V008,V008,61347.0,Net30,2024-10-07,2024-10-06,0,1,on_time,0.0,8
PAY-PO-RFQ-0089-V020,PO-RFQ-0089-V020,V020,61068.57,Net30,2024-10-05,2024-10-02,0,3,on_time,0.0,8
PAY-PO-RFQ-0090-V015,PO-RFQ-0090-V015,V015,1017.06,2/10 Net30,2024-10-06,2024-10-05,0,1,on_time,0.0,8
PAY-PO-RFQ-0091-V002,PO-RFQ-0091-V002,V002,110065.41,Net45,2024-10-21,2024-10-18,0,3,on_time,0.0,8
PAY-PO-RFQ-0092-V019,PO-RFQ-0092-V019,V019,75394.9,2/10 Net30,2024-10-06,2024-10-02,0,4,on_time,0.0,8
PAY-PO-RFQ-0093-V012,PO-RFQ-0093-V012,V012,37890.63,Net60,2024-11-29,2024-11-27,0,2,on_time,0.04,9
PAY-PO-RFQ-0094-V012,PO-RFQ-0094-V012,V012,9696.8,Net30,2024-11-04,2024-10-31,0,4,on_time,0.04,9
PAY-PO-RFQ-0095-V021,PO-RFQ-0095-V021,V021,144901.98,Net45,2024-11-18,2024-12-06,18,0,late,0.04,9
PAY-PO-RFQ-0096-V022,PO-RFQ-0096-V022,V022,116518.14,2/10 Net30,2024-11-06,2024-11-02,0,4,on_time,0.04,9
PAY-PO-RFQ-0097-V009,PO-RFQ-0097-V009,V009,32069.4,LC at sight,2024-10-06,2024-10-04,0,2,on_time,0.04,9
PAY-PO-RFQ-0098-V006,PO-RFQ-0098-V006,V006,46195.28,2/10 Net30,2024-11-02,2024-11-01,0,1,on_time,0.04,9
PAY-PO-RFQ-0099-V006,PO-RFQ-0099-V006,V006,63372.54,Net45,2024-11-20,2024-12-12,22,0,late,0.04,9
PAY-PO-RFQ-0100-V014,PO-RFQ-0100-V014,V014,53907.0,Net45,2024-11-18,2024-11-14,0,4,on_time,0.04,9
PAY-PO-RFQ-0101-V022,PO-RFQ-0101-V022,V022,42956.76,Net60,2024-12-01,2024-11-26,0,5,on_time,0.04,9
PAY-PO-RFQ-0102-V001,PO-RFQ-0102-V001,V001,113955.38,LC at sight,2024-10-02,2024-10-03,1,0,slightly_late,0.04,9
PAY-PO-RFQ-0103-V005,PO-RFQ-0103-V005,V005,10623.34,LC at sight,2024-10-05,2024-10-01,0,4,on_time,0.04,9
PAY-PO-RFQ-0104-V004,PO-RFQ-0104-V004,V004,7739.14,Net30,2024-12-05,2024-12-07,2,0,slightly_late,0.05,10
PAY-PO-RFQ-0105-V013,PO-RFQ-0105-V013,V013,104021.72,Net30,2024-11-30,2024-12-06,6,0,slightly_late,0.05,10
PAY-PO-RFQ-0106-V019,PO-RFQ-0106-V019,V019,1075.2,Net30,2024-11-30,2024-11-28,0,2,on_time,0.05,10
PAY-PO-RFQ-0107-V004,PO-RFQ-0107-V004,V004,2509.82,LC at sight,2024-11-01,2024-10-31,0,1,on_time,0.05,10
PAY-PO-RFQ-0108-V020,PO-RFQ-0108-V020,V020,43632.96,2/10 Net30,2024-12-05,2024-12-25,20,0,late,0.05,10
PAY-PO-RFQ-0109-V013,PO-RFQ-0109-V013,V013,18022.34,Net45,2024-12-15,2024-12-11,0,4,on_time,0.05,10
PAY-PO-RFQ-0110-V013,PO-RFQ-0110-V013,V013,5811.08,Net30,2024-11-29,2024-11-29,0,0,on_time,0.05,10
PAY-PO-RFQ-0111-V003,PO-RFQ-0111-V003,V003,1607.04,Net45,2024-12-21,2024-12-18,0,3,on_time,0.05,10
PAY-PO-RFQ-0112-V020,PO-RFQ-0112-V020,V020,92168.05,Net45,2024-12-14,2024-12-09,0,5,on_time,0.05,10
PAY-PO-RFQ-0113-V006,PO-RFQ-0113-V006,V006,79925.78,Net60,2025-01-02,2025-01-04,2,0,slightly_late,0.05,10
PAY-PO-RFQ-0114-V002,PO-RFQ-0114-V002,V002,79948.8,LC at sight,2024-11-04,2024-11-22,18,0,late,0.05,10
PAY-PO-RFQ-0115-V008,PO-RFQ-0115-V008,V008,86885.32,Net30,2024-11-30,2024-11-28,0,2,on_time,0.05,10
PAY-PO-RFQ-0116-V009,PO-RFQ-0116-V009,V009,35920.48,Net60,2025-01-30,2025-01-25,0,5,on_time,-0.015,11
PAY-PO-RFQ-0117-V006,PO-RFQ-0117-V006,V006,147893.4,Net30,2025-01-03,2025-01-14,11,0,late,-0.015,11
PAY-PO-RFQ-0118-V006,PO-RFQ-0118-V006,V006,62826.57,LC at sight,2024-11-29,2024-11-26,0,3,on_time,-0.015,11
PAY-PO-RFQ-0119-V002,PO-RFQ-0119-V002,V002,197047.24,Net30,2024-12-30,2025-01-14,15,0,late,-0.015,11
PAY-PO-RFQ-0120-V004,PO-RFQ-0120-V004,V004,33747.21,Net45,2025-01-13,2025-01-13,0,0,on_time,-0.015,11
PAY-PO-RFQ-0121-V002,PO-RFQ-0121-V002,V002,152869.5,2/10 Net30,2024-12-31,2024-12-26,0,5,on_time,-0.015,11
PAY-PO-RFQ-0122-V016,PO-RFQ-0122-V016,V016,127661.71,Net30,2025-01-05,2025-01-04,0,1,on_time,-0.015,11
PAY-PO-RFQ-0123-V021,PO-RFQ-0123-V021,V021,70794.75,LC at sight,2024-12-03,2024-11-29,0,4,on_time,-0.015,11
PAY-PO-RFQ-0124-V023,PO-RFQ-0124-V023,V023,8377.98,LC at sight,2024-12-03,2024-12-09,6,0,slightly_late,-0.015,11
PAY-PO-RFQ-0125-V013,PO-RFQ-0125-V013,V013,79030.12,LC at sight,2024-11-30,2024-11-30,0,0,on_time,-0.015,11
PAY-PO-RFQ-0126-V016,PO-RFQ-0126-V016,V016,34764.06,Net45,2025-01-17,2025-01-13,0,4,on_time,-0.015,11
PAY-PO-RFQ-0127-V011,PO-RFQ-0127-V011,V011,106367.58,2/10 Net30,2024-12-30,2024-12-26,0,4,on_time,-0.015,11
PAY-PO-RFQ-0128-V021,PO-RFQ-0128-V021,V021,13967.47,Net45,2025-01-17,2025-01-15,0,2,on_time,-0.015,11
PAY-PO-RFQ-0129-V019,PO-RFQ-0129-V019,V019,98304.0,2/10 Net30,2025-01-29,2025-02-03,5,0,slightly_late,-0.018,12
PAY-PO-RFQ-0130-V009,PO-RFQ-0130-V009,V009,50577.66,Net60,2025-03-02,2025-02-26,0,4,on_time,-0.018,12
PAY-PO-RFQ-0131-V002,PO-RFQ-0131-V002,V002,74591.72,2/10 Net30,2025-01-28,2025-01-24,0,4,on_time,-0.018,12
PAY-PO-RFQ-0132-V021,PO-RFQ-0132-V021,V021,167330.24,Net45,2025-02-17,2025-02-15,0,2,on_time,-0.018,12
PAY-PO-RFQ-0133-V013,PO-RFQ-0133-V013,V013,168104.16,2/10 Net30,2025-02-04,2025-02-03,0,1,on_time,-0.018,12
PAY-PO-RFQ-0134-V017,PO-RFQ-0134-V017,V017,44367.6,LC at sight,2025-01-03,2025-01-01,0,2,on_time,-0.018,12
PAY-PO-RFQ-0135-V016,PO-RFQ-0135-V016,V016,137969.82,Net60,2025-03-03,2025-03-03,0,0,on_time,-0.018,12
PAY-PO-RFQ-0136-V020,PO-RFQ-0136-V020,V020,82010.57,2/10 Net30,2025-02-03,2025-01-30,0,4,on_time,-0.018,12
PAY-PO-RFQ-0137-V006,PO-RFQ-0137-V006,V006,140522.3,Net60,2025-03-02,2025-02-26,0,4,on_time,-0.018,12
PAY-PO-RFQ-0138-V020,PO-RFQ-0138-V020,V020,44871.26,Net45,2025-02-17,2025-02-22,5,0,slightly_late,-0.018,12
PAY-PO-RFQ-0139-V002,PO-RFQ-0139-V002,V002,7072.69,2/10 Net30,2025-01-31,2025-01-26,0,5,on_time,-0.018,12
PAY-PO-RFQ-0140-V016,PO-RFQ-0140-V016,V016,26136.91,Net45,2025-02-14,2025-02-16,2,0,slightly_late,-0.018,12
PAY-PO-RFQ-0141-V013,PO-RFQ-0141-V013,V013,1603.5,Net30,2025-01-28,2025-01-25,0,3,on_time,-0.018,12
PAY-PO-RFQ-0142-V017,PO-RFQ-0142-V017,V017,19870.4,LC at sight,2024-12-29,2024-12-26,0,3,on_time,-0.018,12
PAY-PO-RFQ-0143-V013,PO-RFQ-0143-V013,V013,178911.7,Net45,2025-03-15,2025-03-13,0,2,on_time,-0.01,13
PAY-PO-RFQ-0144-V011,PO-RFQ-0144-V011,V011,37018.51,2/10 Net30,2025-02-28,2025-03-08,8,0,late,-0.01,13
PAY-PO-RFQ-0145-V022,PO-RFQ-0145-V022,V022,21156.0,Net45,2025-03-16,2025-03-16,0,0,on_time,-0.01,13
PAY-PO-RFQ-0146-V021,PO-RFQ-0146-V021,V021,146599.81,Net60,2025-03-30,2025-03-30,0,0,on_time,-0.01,13
PAY-PO-RFQ-0147-V021,PO-RFQ-0147-V021,V021,31081.5,Net60,2025-04-03,2025-04-01,0,2,on_time,-0.01,13
PAY-PO-RFQ-0148-V006,PO-RFQ-0148-V006,V006,119747.58,2/10 Net30,2025-03-02,2025-02-25,0,5,on_time,-0.01,13
PAY-PO-RFQ-0149-V002,PO-RFQ-0149-V002,V002,8550.0,2/10 Net30,2025-03-05,2025-03-05,0,0,on_time,-0.01,13
PAY-PO-RFQ-0150-V016,PO-RFQ-0150-V016,V016,58913.4,LC at sight,2025-01-29,2025-01-27,0,2,on_time,-0.01,13
PAY-PO-RFQ-0151-V006,PO-RFQ-0151-V006,V006,42372.9,Net45,2025-03-18,2025-03-16,0,2,on_time,-0.01,13
PAY-PO-RFQ-0152-V001,PO-RFQ-0152-V001,V001,8536.52,Net30,2025-03-06,2025-03-18,12,0,late,-0.01,13
PAY-PO-RFQ-0153-V002,PO-RFQ-0153-V002,V002,149971.11,Net45,2025-04-18,2025-04-19,1,0,slightly_late,-0.005,14
PAY-PO-RFQ-0154-V016,PO-RFQ-0154-V016,V016,3310.45,Net45,2025-04-19,2025-04-14,0,5,on_time,-0.005,14
PAY-PO-RFQ-0155-V002,PO-RFQ-0155-V002,V002,43466.15,Net30,2025-04-03,2025-03-30,0,4,on_time,-0.005,14
PAY-PO-RFQ-0156-V004,PO-RFQ-0156-V004,V004,202016.24,Net30,2025-03-29,2025-03-25,0,4,on_time,-0.005,14
PAY-PO-RFQ-0157-V006,PO-RFQ-0157-V006,V006,17151.15,2/10 Net30,2025-04-02,2025-04-02,0,0,on_time,-0.005,14
PAY-PO-RFQ-0158-V017,PO-RFQ-0158-V017,V017,67507.44,2/10 Net30,2025-03-31,2025-03-31,0,0,on_time,-0.005,14
PAY-PO-RFQ-0159-V009,PO-RFQ-0159-V009,V009,19029.0,2/10 Net30,2025-04-05,2025-04-03,0,2,on_time,-0.005,14
PAY-PO-RFQ-0160-V015,PO-RFQ-0160-V015,V015,43593.44,2/10 Net30,2025-04-03,2025-04-03,0,0,on_time,-0.005,14
PAY-PO-RFQ-0161-V006,PO-RFQ-0161-V006,V006,135841.65,Net60,2025-04-30,2025-04-27,0,3,on_time,-0.005,14
PAY-PO-RFQ-0162-V011,PO-RFQ-0162-V011,V011,161078.1,Net60,2025-05-04,2025-05-02,0,2,on_time,-0.005,14
PAY-PO-RFQ-0163-V009,PO-RFQ-0163-V009,V009,54962.18,Net30,2025-03-31,2025-04-06,6,0,slightly_late,-0.005,14
PAY-PO-RFQ-0164-V002,PO-RFQ-0164-V002,V002,144063.92,Net60,2025-05-30,2025-05-29,0,1,on_time,0.035,15
PAY-PO-RFQ-0165-V013,PO-RFQ-0165-V013,V013,106747.52,Net30,2025-05-04,2025-04-29,0,5,on_time,0.035,15
PAY-PO-RFQ-0166-V006,PO-RFQ-0166-V006,V006,16366.6,Net60,2025-06-04,2025-05-31,0,4,on_time,0.035,15
PAY-PO-RFQ-0167-V006,PO-RFQ-0167-V006,V006,31400.32,Net30,2025-04-30,2025-04-29,0,1,on_time,0.035,15
PAY-PO-RFQ-0168-V013,PO-RFQ-0168-V013,V013,82991.76,Net45,2025-05-15,2025-05-14,0,1,on_time,0.035,15
PAY-PO-RFQ-0169-V006,PO-RFQ-0169-V006,V006,64647.77,Net60,2025-06-04,2025-06-02,0,2,on_time,0.035,15
PAY-PO-RFQ-0170-V007,PO-RFQ-0170-V007,V007,51644.8,Net45,2025-05-16,2025-05-17,1,0,slightly_late,0.035,15
PAY-PO-RFQ-0171-V010,PO-RFQ-0171-V010,V010,16636.88,Net30,2025-05-04,2025-05-03,0,1,on_time,0.035,15
PAY-PO-RFQ-0172-V011,PO-RFQ-0172-V011,V011,175684.35,Net60,2025-05-28,2025-05-31,3,0,slightly_late,0.035,15
PAY-PO-RFQ-0173-V013,PO-RFQ-0173-V013,V013,160571.8,LC at sight,2025-04-03,2025-04-02,0,1,on_time,0.035,15
PAY-PO-RFQ-0174-V021,PO-RFQ-0174-V021,V021,120502.56,Net60,2025-06-02,2025-05-30,0,3,on_time,0.035,15
PAY-PO-RFQ-0175-V024,PO-RFQ-0175-V024,V024,70058.5,Net30,2025-04-28,2025-05-05,7,0,slightly_late,0.035,15
PAY-PO-RFQ-0176-V016,PO-RFQ-0176-V016,V016,54016.27,LC at sight,2025-05-05,2025-05-01,0,4,on_time,0.025,16
PAY-PO-RFQ-0177-V013,PO-RFQ-0177-V013,V013,24561.3,Net45,2025-06-15,2025-06-10,0,5,on_time,0.025,16
PAY-PO-RFQ-0178-V013,PO-RFQ-0178-V013,V013,40146.47,LC at sight,2025-05-02,2025-05-09,7,0,slightly_late,0.025,16
PAY-PO-RFQ-0179-V001,PO-RFQ-0179-V001,V001,55512.7,2/10 Net30,2025-05-31,2025-05-30,0,1,on_time,0.025,16
PAY-PO-RFQ-0180-V002,PO-RFQ-0180-V002,V002,47032.92,LC at sight,2025-05-05,2025-05-01,0,4,on_time,0.025,16
PAY-PO-RFQ-0181-V011,PO-RFQ-0181-V011,V011,23231.61,Net30,2025-06-04,2025-06-03,0,1,on_time,0.025,16
PAY-PO-RFQ-0182-V019,PO-RFQ-0182-V019,V019,17009.94,Net30,2025-06-02,2025-06-02,0,0,on_time,0.025,16
PAY-PO-RFQ-0183-V006,PO-RFQ-0183-V006,V006,32045.97,2/10 Net30,2025-05-29,2025-05-29,0,0,on_time,0.025,16
PAY-PO-RFQ-0184-V007,PO-RFQ-0184-V007,V007,60036.01,2/10 Net30,2025-06-03,2025-05-31,0,3,on_time,0.025,16
PAY-PO-RFQ-0185-V002,PO-RFQ-0185-V002,V002,58804.54,LC at sight,2025-05-03,2025-04-30,0,3,on_time,0.025,16
PAY-PO-RFQ-0186-V005,PO-RFQ-0186-V005,V005,33976.6,Net60,2025-07-04,2025-07-07,3,0,slightly_late,0.025,16
PAY-PO-RFQ-0187-V005,PO-RFQ-0187-V005,V005,13633.49,Net45,2025-06-12,2025-06-17,5,0,slightly_late,0.025,16
PAY-PO-RFQ-0188-V001,PO-RFQ-0188-V001,V001,32424.78,2/10 Net30,2025-06-01,2025-06-29,28,0,late,0.025,16
