email_id,rfq_id,vendor_id,direction,timestamp,from_email,to_email,subject,email_type,body_snippet,bid_amount_usd,delivery_days
EML-00014,RFQ-0001,V002,outbound,2024-01-23 09:15:00,procurement@meridian-industrial.com,lance@tanakaelectric.com,Request for Quotation – RFQ-0001 – Electrical Components,rfq_invite,Please find attached our RFQ RFQ-0001. Bid deadline: 2024-02-06.,,
EML-00015,RFQ-0001,V013,outbound,2024-01-23 09:15:00,procurement@meridian-industrial.com,john@vantagesensors.com,Request for Quotation – RFQ-0001 – Electrical Components,rfq_invite,Please find attached our RFQ RFQ-0001. Bid deadline: 2024-02-06.,,
EML-00016,RFQ-0002,V011,outbound,2024-01-23 09:15:00,procurement@meridian-industrial.com,lisa@solarispowerco.com,Request for Quotation – RFQ-0002 – Electrical Components,rfq_invite,Please find attached our RFQ RFQ-0002. Bid deadline: 2024-02-06.,,
EML-00017,RFQ-0002,V016,outbound,2024-01-23 09:15:00,procurement@meridian-industrial.com,james@precisionarcsy.com,Request for Quotation – RFQ-0002 – Electrical Components,rfq_invite,Please find attached our RFQ RFQ-0002. Bid deadline: 2024-02-06.,,
EML-00018,RFQ-0002,V016,inbound,2024-01-27 11:00:00,james@precisionarcsy.com,procurement@meridian-industrial.com,Re: RFQ RFQ-0002 — Clarification Required,query,Could you clarify item specification on line 1? Specifically tolerance and surface finish.,,
EML-00019,RFQ-0002,V016,inbound,2024-01-28 11:00:00,james@precisionarcsy.com,procurement@meridian-industrial.com,Re: RFQ RFQ-0002 — Clarification Required,query,Could you clarify item specification on line 2? Specifically tolerance and surface finish.,,
EML-00020,RFQ-0002,V016,inbound,2024-02-03 13:00:00,james@precisionarcsy.com,procurement@meridian-industrial.com,Quotation Submission – RFQ-0002 – Precision Arc Systems,bid,"Please find our quotation. Unit price USD 419.36. Total USD 78,839.68. Lead time 29 days.",78839.68,29.0
EML-00021,RFQ-0002,V006,outbound,2024-01-23 09:15:00,procurement@meridian-industrial.com,andrew@brightsparkele.com,Request for Quotation – RFQ-0002 – Electrical Components,rfq_invite,Please find attached our RFQ RFQ-0002. Bid deadline: 2024-02-06.,,
EML-00022,RFQ-0002,V006,inbound,2024-01-25 08:00:00,andrew@brightsparkele.com,procurement@meridian-industrial.com,Re: Request for Quotation – RFQ-0002,acknowledgement,Thank you for your RFQ. We will submit our quotation before the deadline.,,
EML-00023,RFQ-0002,V006,inbound,2024-01-26 11:00:00,andrew@brightsparkele.com,procurement@meridian-industrial.com,Re: RFQ RFQ-0002 — Clarification Required,query,Could you clarify item specification on line 1? Specifically tolerance and surface finish.,,
EML-00024,RFQ-0002,V006,inbound,2024-02-03 16:00:00,andrew@brightsparkele.com,procurement@meridian-industrial.com,Quotation Submission – RFQ-0002 – Bright Spark Electronics Ltd,bid,"Please find our quotation. Unit price USD 467.69. Total USD 87,925.72. Lead time 51 days.",87925.72,51.0
EML-00025,RFQ-0002,V018,outbound,2024-01-23 09:15:00,procurement@meridian-industrial.com,jennifer@guangzhoumeche.com,Request for Quotation – RFQ-0002 – Electrical Components,rfq_invite,Please find attached our RFQ RFQ-0002. Bid deadline: 2024-02-06.,,
EML-00026,RFQ-0002,V018,inbound,2024-01-26 17:00:00,jennifer@guangzhoumeche.com,procurement@meridian-industrial.com,Re: Request for Quotation – RFQ-0002,acknowledgement,Thank you for your RFQ. We will submit our quotation before the deadline.,,
EML-00027,RFQ-0002,V018,inbound,2024-01-27 11:00:00,jennifer@guangzhoumeche.com,procurement@meridian-industrial.com,Re: RFQ RFQ-0002 — Clarification Required,query,Could you clarify item specification on line 1? Specifically tolerance and surface finish.,,
EML-00028,RFQ-0002,V018,inbound,2024-02-03 14:00:00,jennifer@guangzhoumeche.com,procurement@meridian-industrial.com,Quotation Submission – RFQ-0002 – Guangzhou Mech & Elec Co.,bid,"Please find our quotation. Unit price USD 534.09. Total USD 100,408.92. Lead time 36 days.",100408.92,36.0
EML-00029,RFQ-0002,V002,outbound,2024-01-23 09:15:00,procurement@meridian-industrial.com,lance@tanakaelectric.com,Request for Quotation – RFQ-0002 – Electrical Components,rfq_invite,Please find attached our RFQ RFQ-0002. Bid deadline: 2024-02-06.,,
EML-00030,RFQ-0002,V002,inbound,2024-01-24 11:00:00,lance@tanakaelectric.com,procurement@meridian-industrial.com,Re: Request for Quotation – RFQ-0002,acknowledgement,Thank you for your RFQ. We will submit our quotation before the deadline.,,
EML-00031,RFQ-0002,V002,inbound,2024-01-25 11:00:00,lance@tanakaelectric.com,procurement@meridian-industrial.com,Re: RFQ RFQ-0002 — Clarification Required,query,Could you clarify item specification on line 1? Specifically tolerance and surface finish.,,
EML-00032,RFQ-0002,V002,inbound,2024-02-04 11:00:00,lance@tanakaelectric.com,procurement@meridian-industrial.com,Quotation Submission – RFQ-0002 – Tanaka Electrical KK,bid,"Please find our quotation. Unit price USD 524.39. Total USD 98,585.32. Lead time 30 days.",98585.32,30.0
EML-00033,RFQ-0002,V013,outbound,2024-01-23 09:15:00,procurement@meridian-industrial.com,john@vantagesensors.com,Request for Quotation – RFQ-0002 – Electrical Components,rfq_invite,Please find attached our RFQ RFQ-0002. Bid deadline: 2024-02-06.,,
EML-00034,RFQ-0002,V013,inbound,2024-01-24 15:00:00,john@vantagesensors.com,procurement@meridian-industrial.com,Re: Request for Quotation – RFQ-0002,acknowledgement,Thank you for your RFQ. We will submit our quotation before the deadline.,,
EML-00035,RFQ-0002,V013,inbound,2024-02-06 15:00:00,john@vantagesensors.com,procurement@meridian-industrial.com,Quotation Submission – RFQ-0002 – Vantage Sensors GmbH,bid,"Please find our quotation. Unit price USD 525.85. Total USD 98,859.80. Lead time 43 days.",98859.8,43.0
EML-00036,RFQ-0003,V003,outbound,2024-01-19 09:15:00,procurement@meridian-industrial.com,gabrielle@patelalloyspvt.com,Request for Quotation – RFQ-0003 – Raw Materials,rfq_invite,Please find attached our RFQ RFQ-0003. Bid deadline: 2024-02-02.,,
EML-00037,RFQ-0003,V003,inbound,2024-01-21 10:00:00,gabrielle@patelalloyspvt.com,procurement@meridian-industrial.com,Re: Request for Quotation – RFQ-0003,acknowledgement,Thank you for your RFQ. We will submit our quotation before the deadline.,,
EML-00038,RFQ-0003,V003,inbound,2024-01-22 11:00:00,gabrielle@patelalloyspvt.com,procurement@meridian-industrial.com,Re: RFQ RFQ-0003 — Clarification Required,query,Could you clarify item specification on line 1? Specifically tolerance and surface finish.,,
EML-00039,RFQ-0003,V003,inbound,2024-02-01 11:00:00,gabrielle@patelalloyspvt.com,procurement@meridian-industrial.com,Quotation Submission – RFQ-0003 – Patel Alloys Pvt Ltd,bid,"Please find our quotation. Unit price USD 116.18. Total USD 17,891.72. Lead time 19 days.",17891.72,19.0
EML-00040,RFQ-0003,V015,outbound,2024-01-19 09:15:00,procurement@meridian-industrial.com,shannon@nordicsteelas.com,Request for Quotation – RFQ-0003 – Raw Materials,rfq_invite,Please find attached our RFQ RFQ-0003. Bid deadline: 2024-02-02.,,
EML-00041,RFQ-0003,V015,inbound,2024-01-20 12:00:00,shannon@nordicsteelas.com,procurement@meridian-industrial.com,Re: Request for Quotation – RFQ-0003,acknowledgement,Thank you for your RFQ. We will submit our quotation before the deadline.,,
EML-00042,RFQ-0003,V015,inbound,2024-01-30 11:00:00,shannon@nordicsteelas.com,procurement@meridian-industrial.com,Quotation Submission – RFQ-0003 – Nordic Steel AS,bid,"Please find our quotation. Unit price USD 114.45. Total USD 17,625.30. Lead time 28 days.",17625.3,28.0
EML-00043,RFQ-0003,V012,outbound,2024-01-19 09:15:00,procurement@meridian-industrial.com,alex@indracopperwor.com,Request for Quotation – RFQ-0003 – Raw Materials,rfq_invite,Please find attached our RFQ RFQ-0003. Bid deadline: 2024-02-02.,,
EML-00044,RFQ-0003,V012,inbound,2024-01-31 16:00:00,alex@indracopperwor.com,procurement@meridian-industrial.com,Quotation Submission – RFQ-0003 – Indra Copper Works,bid,"Please find our quotation. Unit price USD 117.00. Total USD 18,018.00. Lead time 10 days.",18018.0,10.0
EML-00045,RFQ-0003,V014,outbound,2024-01-19 09:15:00,procurement@meridian-industrial.com,amy@coastalalloysp.com,Request for Quotation – RFQ-0003 – Raw Materials,rfq_invite,Please find attached our RFQ RFQ-0003. Bid deadline: 2024-02-02.,,
EML-00046,RFQ-0003,V014,inbound,2024-01-21 08:00:00,amy@coastalalloysp.com,procurement@meridian-industrial.com,Re: Request for Quotation – RFQ-0003,acknowledgement,Thank you for your RFQ. We will submit our quotation before the deadline.,,
EML-00047,RFQ-0003,V014,inbound,2024-01-30 12:00:00,amy@coastalalloysp.com,procurement@meridian-industrial.com,Quotation Submission – RFQ-0003 – Coastal Alloys Pty Ltd,bid,"Please find our quotation. Unit price USD 113.93. Total USD 17,545.22. Lead time 25 days.",17545.22,25.0
EML-00048,RFQ-0003,V008,outbound,2024-01-19 09:15:00,procurement@meridian-industrial.com,zachary@deltacomposite.com,Request for Quotation – RFQ-0003 – Raw Materials,rfq_invite,Please find attached our RFQ RFQ-0003. Bid deadline: 2024-02-02.,,
EML-00049,RFQ-0003,V008,inbound,2024-01-21 15:00:00,zachary@deltacomposite.com,procurement@meridian-industrial.com,Re: Request for Quotation – RFQ-0003,acknowledgement,Thank you for your RFQ. We will submit our quotation before the deadline.,,
EML-00050,RFQ-0003,V008,inbound,2024-02-02 17:00:00,zachary@deltacomposite.com,procurement@meridian-industrial.com,Quotation Submission – RFQ-0003 – Delta Composites Inc.,bid,"Please find our quotation. Unit price USD 101.17. Total USD 15,580.18. Lead time 25 days.",15580.18,25.0
EML-00051,RFQ-0003,V020,outbound,2024-01-19 09:15:00,procurement@meridian-industrial.com,brandy@rajasthanraree.com,Request for Quotation – RFQ-0003 – Raw Materials,rfq_invite,Please find attached our RFQ RFQ-0003. Bid deadline: 2024-02-02.,,
EML-00052,RFQ-0003,V020,inbound,2024-01-22 11:00:00,brandy@rajasthanraree.com,procurement@meridian-industrial.com,Re: Request for Quotation – RFQ-0003,acknowledgement,Thank you for your RFQ. We will submit our quotation before the deadline.,,
EML-00053,RFQ-0003,V020,inbound,2024-02-01 14:00:00,brandy@rajasthanraree.com,procurement@meridian-industrial.com,Quotation Submission – RFQ-0003 – Rajasthan Rare Earths Ltd,bid,"Please find our quotation. Unit price USD 115.08. Total USD 17,722.32. Lead time 13 days.",17722.32,13.0
EML-00054,RFQ-0003,V005,outbound,2024-01-19 09:15:00,procurement@meridian-industrial.com,henry@cerronegrometa.com,Request for Quotation – RFQ-0003 – Raw Materials,rfq_invite,Please find attached our RFQ RFQ-0003. Bid deadline: 2024-02-02.,,
EML-00055,RFQ-0003,V005,inbound,2024-01-20 17:00:00,henry@cerronegrometa.com,procurement@meridian-industrial.com,Re: Request for Quotation – RFQ-0003,acknowledgement,Thank you for your RFQ. We will submit our quotation before the deadline.,,
EML-00056,RFQ-0003,V005,inbound,2024-02-02 10:00:00,henry@cerronegrometa.com,procurement@meridian-industrial.com,Quotation Submission – RFQ-0003 – Cerro Negro Metals SA,bid,"Please find our quotation. Unit price USD 105.70. Total USD 16,277.80. Lead time 13 days.",16277.8,13.0
EML-00057,RFQ-0004,V016,outbound,2024-01-29 09:15:00,procurement@meridian-industrial.com,james@precisionarcsy.com,Request for Quotation – RFQ-0004 – Electrical Components,rfq_invite,Please find attached our RFQ RFQ-0004. Bid deadline: 2024-02-12.,,
EML-00058,RFQ-0004,V013,outbound,2024-01-29 09:15:00,procurement@meridian-industrial.com,john@vantagesensors.com,Request for Quotation – RFQ-0004 – Electrical Components,rfq_invite,Please find attached our RFQ RFQ-0004. Bid deadline: 2024-02-12.,,
EML-00059,RFQ-0004,V013,inbound,2024-02-01 17:00:00,john@vantagesensors.com,procurement@meridian-industrial.com,Re: Request for Quotation – RFQ-0004,acknowledgement,Thank you for your RFQ. We will submit our quotation before the deadline.,,
EML-00060,RFQ-0004,V013,inbound,2024-02-11 14:00:00,john@vantagesensors.com,procurement@meridian-industrial.com,Quotation Submission – RFQ-0004 – Vantage Sensors GmbH,bid,"Please find our quotation. Unit price USD 929.47. Total USD 109,677.46. Lead time 39 days.",109677.46,39.0
EML-00061,RFQ-0004,V011,outbound,2024-01-29 09:15:00,procurement@meridian-industrial.com,lisa@solarispowerco.com,Request for Quotation – RFQ-0004 – Electrical Components,rfq_invite,Please find attached our RFQ RFQ-0004. Bid deadline: 2024-02-12.,,
EML-00062,RFQ-0004,V006,outbound,2024-01-29 09:15:00,procurement@meridian-industrial.com,andrew@brightsparkele.com,Request for Quotation – RFQ-0004 – Electrical Components,rfq_invite,Please find attached our RFQ RFQ-0004. Bid deadline: 2024-02-12.,,
EML-00063,RFQ-0004,V006,inbound,2024-02-01 11:00:00,andrew@brightsparkele.com,procurement@meridian-industrial.com,Re: RFQ RFQ-0004 — Clarification Required,query,Could you clarify item specification on line 1? Specifically tolerance and surface finish.,,
EML-00064,RFQ-0004,V006,inbound,2024-02-02 11:00:00,andrew@brightsparkele.com,procurement@meridian-industrial.com,Re: RFQ RFQ-0004 — Clarification Required,query,Could you clarify item specification on line 2? Specifically tolerance and surface finish.,,
EML-00065,RFQ-0004,V006,inbound,2024-02-12 16:00:00,andrew@brightsparkele.com,procurement@meridian-industrial.com,Quotation Submission – RFQ-0004 – Bright Spark Electronics Ltd,bid,"Please find our quotation. Unit price USD 786.62. Total USD 92,821.16. Lead time 28 days.",92821.16,28.0
EML-00066,RFQ-0004,V018,outbound,2024-01-29 09:15:00,procurement@meridian-industrial.com,jennifer@guangzhoumeche.com,Request for Quotation – RFQ-0004 – Electrical Components,rfq_invite,Please find attached our RFQ RFQ-0004. Bid deadline: 2024-02-12.,,
EML-00067,RFQ-0004,V018,inbound,2024-02-09 12:00:00,jennifer@guangzhoumeche.com,procurement@meridian-industrial.com,Quotation Submission – RFQ-0004 – Guangzhou Mech & Elec Co.,bid,"Please find our quotation. Unit price USD 970.51. Total USD 114,520.18. Lead time 43 days.",114520.18,43.0
EML-00068,RFQ-0004,V002,outbound,2024-01-29 09:15:00,procurement@meridian-industrial.com,lance@tanakaelectric.com,Request for Quotation – RFQ-0004 – Electrical Components,rfq_invite,Please find attached our RFQ RFQ-0004. Bid deadline: 2024-02-12.,,
EML-00069,RFQ-0004,V002,inbound,2024-02-01 17:00:00,lance@tanakaelectric.com,procurement@meridian-industrial.com,Re: Request for Quotation – RFQ-0004,acknowledgement,Thank you for your RFQ. We will submit our quotation before the deadline.,,
EML-00070,RFQ-0004,V002,inbound,2024-02-12 13:00:00,lance@tanakaelectric.com,procurement@meridian-industrial.com,Quotation Submission – RFQ-0004 – Tanaka Electrical KK,bid,"Please find our quotation. Unit price USD 922.96. Total USD 108,909.28. Lead time 40 days.",108909.28,40.0
EML-00071,RFQ-0005,V002,outbound,2024-01-12 09:15:00,procurement@meridian-industrial.com,lance@tanakaelectric.com,Request for Quotation – RFQ-0005 – Electrical Components,rfq_invite,Please find attached our RFQ RFQ-0005. Bid deadline: 2024-01-26.,,
EML-00072,RFQ-0005,V002,inbound,2024-01-14 17:00:00,lance@tanakaelectric.com,procurement@meridian-industrial.com,Re: Request for Quotation – RFQ-0005,acknowledgement,Thank you for your RFQ. We will submit our quotation before the deadline.,,
EML-00073,RFQ-0005,V002,inbound,2024-01-15 11:00:00,lance@tanakaelectric.com,procurement@meridian-industrial.com,Re: RFQ RFQ-0005 — Clarification Required,query,Could you clarify item specification on line 1? Specifically tolerance and surface finish.,,
EML-00074,RFQ-0005,V002,inbound,2024-01-16 11:00:00,lance@tanakaelectric.com,procurement@meridian-industrial.com,Re: RFQ RFQ-0005 — Clarification Required,query,Could you clarify item specification on line 2? Specifically tolerance and surface finish.,,
EML-00075,RFQ-0005,V002,inbound,2024-01-25 16:00:00,lance@tanakaelectric.com,procurement@meridian-industrial.com,Quotation Submission – RFQ-0005 – Tanaka Electrical KK,bid,"Please find our quotation. Unit price USD 10.91. Total USD 2,302.01. Lead time 49 days.",2302.01,49.0
EML-00076,RFQ-0005,V016,outbound,2024-01-12 09:15:00,procurement@meridian-industrial.com,james@precisionarcsy.com,Request for Quotation – RFQ-0005 – Electrical Components,rfq_invite,Please find attached our RFQ RFQ-0005. Bid deadline: 2024-01-26.,,
EML-00077,RFQ-0005,V016,inbound,2024-01-15 10:00:00,james@precisionarcsy.com,procurement@meridian-industrial.com,Re: Request for Quotation – RFQ-0005,acknowledgement,Thank you for your RFQ. We will submit our quotation before the deadline.,,
EML-00078,RFQ-0005,V016,inbound,2024-01-16 11:00:00,james@precisionarcsy.com,procurement@meridian-industrial.com,Re: RFQ RFQ-0005 — Clarification Required,query,Could you clarify item specification on line 1? Specifically tolerance and surface finish.,,
EML-00079,RFQ-0005,V016,inbound,2024-01-24 09:00:00,james@precisionarcsy.com,procurement@meridian-industrial.com,Quotation Submission – RFQ-0005 – Precision Arc Systems,bid,"Please find our quotation. Unit price USD 10.03. Total USD 2,116.33. Lead time 22 days.",2116.33,22.0
EML-00080,RFQ-0005,V011,outbound,2024-01-12 09:15:00,procurement@meridian-industrial.com,lisa@solarispowerco.com,Request for Quotation – RFQ-0005 – Electrical Components,rfq_invite,Please find attached our RFQ RFQ-0005. Bid deadline: 2024-01-26.,,
EML-00081,RFQ-0005,V011,inbound,2024-01-14 09:00:00,lisa@solarispowerco.com,procurement@meridian-industrial.com,Re: Request for Quotation – RFQ-0005,acknowledgement,Thank you for your RFQ. We will submit our quotation before the deadline.,,
EML-00082,RFQ-0005,V011,inbound,2024-01-15 11:00:00,lisa@solarispowerco.com,procurement@meridian-industrial.com,Re: RFQ RFQ-0005 — Clarification Required,query,Could you clarify item specification on line 1? Specifically tolerance and surface finish.,,
EML-00083,RFQ-0005,V011,inbound,2024-01-23 09:00:00,lisa@solarispowerco.com,procurement@meridian-industrial.com,Quotation Submission – RFQ-0005 – Solaris Power Components,bid,"Please find our quotation. Unit price USD 9.95. Total USD 2,099.45. Lead time 36 days.",2099.45,36.0
EML-00084,RFQ-0005,V006,outbound,2024-01-12 09:15:00,procurement@meridian-industrial.com,andrew@brightsparkele.com,Request for Quotation – RFQ-0005 – Electrical Components,rfq_invite,Please find attached our RFQ RFQ-0005. Bid deadline: 2024-01-26.,,
EML-00085,RFQ-0005,V006,inbound,2024-01-16 11:00:00,andrew@brightsparkele.com,procurement@meridian-industrial.com,Re: RFQ RFQ-0005 — Clarification Required,query,Could you clarify item specification on line 1? Specifically tolerance and surface finish.,,
EML-00086,RFQ-0005,V006,inbound,2024-01-24 10:00:00,andrew@brightsparkele.com,procurement@meridian-industrial.com,Quotation Submission – RFQ-0005 – Bright Spark Electronics Ltd,bid,"Please find our quotation. Unit price USD 12.22. Total USD 2,578.42. Lead time 26 days.",2578.42,26.0
EML-00087,RFQ-0005,V013,outbound,2024-01-12 09:15:00,procurement@meridian-industrial.com,john@vantagesensors.com,Request for Quotation – RFQ-0005 – Electrical Components,rfq_invite,Please find attached our RFQ RFQ-0005. Bid deadline: 2024-01-26.,,
EML-00088,RFQ-0005,V013,inbound,2024-01-15 08:00:00,john@vantagesensors.com,procurement@meridian-industrial.com,Re: Request for Quotation – RFQ-0005,acknowledgement,Thank you for your RFQ. We will submit our quotation before the deadline.,,
EML-00089,RFQ-0005,V013,inbound,2024-01-24 15:00:00,john@vantagesensors.com,procurement@meridian-industrial.com,Quotation Submission – RFQ-0005 – Vantage Sensors GmbH,bid,"Please find our quotation. Unit price USD 11.00. Total USD 2,321.00. Lead time 31 days.",2321.0,31.0
EML-00090,RFQ-0005,V018,outbound,2024-01-12 09:15:00,procurement@meridian-industrial.com,jennifer@guangzhoumeche.com,Request for Quotation – RFQ-0005 – Electrical Components,rfq_invite,Please find attached our RFQ RFQ-0005. Bid deadline: 2024-01-26.,,
EML-00091,RFQ-0005,V018,inbound,2024-01-16 11:00:00,jennifer@guangzhoumeche.com,procurement@meridian-industrial.com,Re: RFQ RFQ-0005 — Clarification Required,query,Could you clarify item specification on line 1? Specifically tolerance and surface finish.,,
EML-00092,RFQ-0005,V018,inbound,2024-01-24 16:00:00,jennifer@guangzhoumeche.com,procurement@meridian-industrial.com,Quotation Submission – RFQ-0005 – Guangzhou Mech & Elec Co.,bid,"Please find our quotation. Unit price USD 11.52. Total USD 2,430.72. Lead time 31 days.",2430.72,31.0
EML-00093,RFQ-0006,V018,outbound,2024-01-19 09:15:00,procurement@meridian-industrial.com,jennifer@guangzhoumeche.com,Request for Quotation – RFQ-0006 – Electrical Components,rfq_invite,Please find attached our RFQ RFQ-0006. Bid deadline: 2024-02-02.,,
EML-00094,RFQ-0006,V018,inbound,2024-01-22 10:00:00,jennifer@guangzhoumeche.com,procurement@meridian-industrial.com,Re: Request for Quotation – RFQ-0006,acknowledgement,Thank you for your RFQ. We will submit our quotation before the deadline.,,
EML-00095,RFQ-0006,V018,inbound,2024-01-31 15:00:00,jennifer@guangzhoumeche.com,procurement@meridian-industrial.com,Quotation Submission – RFQ-0006 – Guangzhou Mech & Elec Co.,bid,"Please find our quotation. Unit price USD 166.70. Total USD 37,674.20. Lead time 39 days.",37674.2,39.0
EML-00096,RFQ-0006,V002,outbound,2024-01-19 09:15:00,procurement@meridian-industrial.com,lance@tanakaelectric.com,Request for Quotation – RFQ-0006 – Electrical Components,rfq_invite,Please find attached our RFQ RFQ-0006. Bid deadline: 2024-02-02.,,
EML-00097,RFQ-0006,V002,inbound,2024-01-31 17:00:00,lance@tanakaelectric.com,procurement@meridian-industrial.com,Quotation Submission – RFQ-0006 – Tanaka Electrical KK,bid,"Please find our quotation. Unit price USD 154.41. Total USD 34,896.66. Lead time 45 days.",34896.66,45.0
EML-00098,RFQ-0006,V013,outbound,2024-01-19 09:15:00,procurement@meridian-industrial.com,john@vantagesensors.com,Request for Quotation – RFQ-0006 – Electrical Components,rfq_invite,Please find attached our RFQ RFQ-0006. Bid deadline: 2024-02-02.,,
EML-00099,RFQ-0006,V013,inbound,2024-01-22 13:00:00,john@vantagesensors.com,procurement@meridian-industrial.com,Re: Request for Quotation – RFQ-0006,acknowledgement,Thank you for your RFQ. We will submit our quotation before the deadline.,,
EML-00100,RFQ-0006,V013,inbound,2024-02-01 09:00:00,john@vantagesensors.com,procurement@meridian-industrial.com,Quotation Submission – RFQ-0006 – Vantage Sensors GmbH,bid,"Please find our quotation. Unit price USD 160.60. Total USD 36,295.60. Lead time 27 days.",36295.6,27.0
EML-00101,RFQ-0006,V011,outbound,2024-01-19 09:15:00,procurement@meridian-industrial.com,lisa@solarispowerco.com,Request for Quotation – RFQ-0006 – Electrical Components,rfq_invite,Please find attached our RFQ RFQ-0006. Bid deadline: 2024-02-02.,,
EML-00102,RFQ-0006,V011,inbound,2024-01-21 10:00:00,lisa@solarispowerco.com,procurement@meridian-industrial.com,Re: Request for Quotation – RFQ-0006,acknowledgement,Thank you for your RFQ. We will submit our quotation before the deadline.,,
EML-00103,RFQ-0006,V011,inbound,2024-01-22 11:00:00,lisa@solarispowerco.com,procurement@meridian-industrial.com,Re: RFQ RFQ-0006 — Clarification Required,query,Could you clarify item specification on line 1? Specifically tolerance and surface finish.,,
EML-00104,RFQ-0006,V011,inbound,2024-01-23 11:00:00,lisa@solarispowerco.com,procurement@meridian-industrial.com,Re: RFQ RFQ-0006 — Clarification Required,query,Could you clarify item specification on line 2? Specifically tolerance and surface finish.,,
EML-00105,RFQ-0006,V011,inbound,2024-02-01 10:00:00,lisa@solarispowerco.com,procurement@meridian-industrial.com,Quotation Submission – RFQ-0006 – Solaris Power Components,bid,"Please find our quotation. Unit price USD 177.14. Total USD 40,033.64. Lead time 48 days.",40033.64,48.0
EML-00106,RFQ-0006,V016,outbound,2024-01-19 09:15:00,procurement@meridian-industrial.com,james@precisionarcsy.com,Request for Quotation – RFQ-0006 – Electrical Components,rfq_invite,Please find attached our RFQ RFQ-0006. Bid deadline: 2024-02-02.,,
EML-00107,RFQ-0006,V006,outbound,2024-01-19 09:15:00,procurement@meridian-industrial.com,andrew@brightsparkele.com,Request for Quotation – RFQ-0006 – Electrical Components,rfq_invite,Please find attached our RFQ RFQ-0006. Bid deadline: 2024-02-02.,,
EML-00108,RFQ-0007,V002,outbound,2024-01-25 09:15:00,procurement@meridian-industrial.com,lance@tanakaelectric.com,Request for Quotation – RFQ-0007 – Electrical Components,rfq_invite,Please find attached our RFQ RFQ-0007. Bid deadline: 2024-02-08.,,
