snapshot_id,vendor_id,vendor_name,month,month_index,relationship_arc,price_index,on_time_delivery_rate,response_rate,quality_score,n_rfqs_invited,n_rfqs_responded,n_bids_submitted,n_pos_won,win_rate_6mo,capacity_utilization,defect_rate_ppm,payment_pct_on_time,payment_avg_days_late
VP-V007-202405,V007,Nakamura Tooling Co.,2024-05-01,4,stable,1.065,1.0,0.838,9.29,6,5,5,1,0.053,72.1,224.0,1.0,0.0
VP-V008-202405,V008,Delta Composites Inc.,2024-05-01,4,stable,0.883,0.848,0.763,7.68,0,0,0,0,0.25,83.6,345.0,,
VP-V009-202405,V009,Fischer & Söhne KG,2024-05-01,4,stable,1.028,1.0,0.888,8.82,6,6,6,2,0.211,63.4,278.0,0.5,1.5
VP-V010-202405,V010,Adriatic Fastenings d.o.o.,2024-05-01,4,stable,0.869,1.0,0.819,7.1,8,7,7,1,0.19,80.7,516.0,0.0,23.0
VP-V011-202405,V011,Solaris Power Components,2024-05-01,4,stable,0.994,0.728,0.687,6.75,3,3,3,0,0.038,86.3,317.0,,
VP-V012-202405,V012,Indra Copper Works,2024-05-01,4,improving,0.926,0.965,0.827,8.06,0,0,0,0,0.25,62.9,357.0,,
VP-V013-202405,V013,Vantage Sensors GmbH,2024-05-01,4,stable,1.016,1.0,0.899,8.85,3,3,3,3,0.5,67.8,423.0,0.333,3.7
VP-V014-202405,V014,Coastal Alloys Pty Ltd,2024-05-01,4,stable,0.961,0.864,0.846,7.97,0,0,0,0,0.0,72.7,372.0,,
VP-V015-202405,V015,Nordic Steel AS,2024-05-01,4,stable,0.993,0.969,0.869,9.2,0,0,0,0,0.25,64.1,103.0,,
VP-V016-202405,V016,Precision Arc Systems,2024-05-01,4,stable,0.932,0.717,0.656,6.38,3,1,1,0,0.154,93.6,289.0,,
VP-V017-202405,V017,Türk Makina A.Ş.,2024-05-01,4,stable,0.867,0.781,0.858,7.47,7,4,4,0,0.1,81.7,270.0,,
VP-V018-202405,V018,Guangzhou Mech & Elec Co.,2024-05-01,4,collapse,0.805,0.81,0.859,6.44,3,2,2,0,0.0,91.0,492.0,,
VP-V019-202405,V019,Emerald Isle Castings Ltd,2024-05-01,4,stable,1.026,0.938,0.84,8.86,8,7,7,0,0.143,71.6,310.0,,
VP-V020-202405,V020,Rajasthan Rare Earths Ltd,2024-05-01,4,improving,0.943,0.796,0.781,7.17,0,0,0,0,0.0,69.1,561.0,,
VP-V021-202405,V021,Helios Micro Systems,2024-05-01,4,new_proving,0.991,0.895,0.771,7.99,3,1,1,0,0.0,57.4,430.0,,
VP-V022-202405,V022,Andean Precision SRL,2024-05-01,4,new_proving,0.851,0.746,0.704,6.77,7,6,6,0,0.0,83.1,466.0,,
VP-V023-202405,V023,Sahara Industrial FZE,2024-05-01,4,new_proving,0.87,0.749,0.694,6.69,0,0,0,0,0.0,78.0,541.0,,
VP-V024-202405,V024,BalticTech UAB,2024-05-01,4,new_proving,0.971,1.0,0.806,8.22,8,8,8,1,0.125,63.9,260.0,1.0,0.0
VP-V001-202406,V001,Kovacs Precision GmbH,2024-06-01,5,declining,0.923,0.91,0.916,9.01,3,3,3,0,0.13,69.9,151.0,,
VP-V002-202406,V002,Tanaka Electrical KK,2024-06-01,5,stable,1.037,1.0,0.808,8.85,5,5,5,1,0.161,73.0,220.0,0.0,3.0
VP-V003-202406,V003,Patel Alloys Pvt Ltd,2024-06-01,5,improving,0.957,0.861,0.784,7.96,2,1,1,0,0.0,77.3,365.0,,
VP-V004-202406,V004,Strömberg Hydraulics AB,2024-06-01,5,stable,1.029,1.0,0.876,9.26,2,2,2,1,0.182,67.5,252.0,1.0,0.0
VP-V005-202406,V005,Cerro Negro Metals SA,2024-06-01,5,stable,0.844,0.781,0.884,7.12,2,2,2,0,0.167,73.7,347.0,,
VP-V006-202406,V006,Bright Spark Electronics Ltd,2024-06-01,5,stable,0.961,1.0,0.715,7.26,5,4,4,2,0.194,83.0,475.0,0.5,2.0
VP-V007-202406,V007,Nakamura Tooling Co.,2024-06-01,5,stable,1.049,1.0,0.854,9.21,3,3,3,1,0.091,82.8,328.0,1.0,0.0
VP-V008-202406,V008,Delta Composites Inc.,2024-06-01,5,stable,0.895,0.801,0.771,7.68,2,2,2,0,0.167,84.3,192.0,,
VP-V009-202406,V009,Fischer & Söhne KG,2024-06-01,5,stable,1.009,0.851,0.864,8.92,3,3,3,0,0.182,62.4,27.0,,
VP-V010-202406,V010,Adriatic Fastenings d.o.o.,2024-06-01,5,stable,0.871,0.834,0.865,7.71,3,3,3,0,0.167,85.9,343.0,,
VP-V011-202406,V011,Solaris Power Components,2024-06-01,5,stable,0.999,0.728,0.662,6.97,5,3,3,0,0.032,79.6,374.0,,
VP-V012-202406,V012,Indra Copper Works,2024-06-01,5,improving,0.945,0.913,0.773,8.11,2,2,2,0,0.167,69.6,312.0,,
VP-V013-202406,V013,Vantage Sensors GmbH,2024-06-01,5,stable,0.993,0.899,0.852,9.22,5,5,5,0,0.419,74.4,160.0,,
VP-V014-202406,V014,Coastal Alloys Pty Ltd,2024-06-01,5,stable,0.949,0.852,0.831,8.06,2,1,1,0,0.0,68.3,209.0,,
VP-V015-202406,V015,Nordic Steel AS,2024-06-01,5,stable,1.008,1.0,0.894,8.9,2,2,2,1,0.333,67.5,141.0,1.0,0.0
VP-V016-202406,V016,Precision Arc Systems,2024-06-01,5,stable,0.899,0.0,0.665,6.9,5,4,4,2,0.194,93.9,419.0,1.0,0.0
VP-V017-202406,V017,Türk Makina A.Ş.,2024-06-01,5,stable,0.866,0.687,0.754,7.01,2,0,0,0,0.091,76.0,171.0,,
VP-V018-202406,V018,Guangzhou Mech & Elec Co.,2024-06-01,5,collapse,0.829,0.768,0.759,5.88,5,5,5,0,0.0,83.6,546.0,,
VP-V019-202406,V019,Emerald Isle Castings Ltd,2024-06-01,5,stable,1.017,0.944,0.891,8.98,3,3,3,0,0.125,67.3,435.0,,
VP-V020-202406,V020,Rajasthan Rare Earths Ltd,2024-06-01,5,improving,0.933,1.0,0.713,7.21,2,1,1,1,0.167,67.3,421.0,0.0,1.0
VP-V021-202406,V021,Helios Micro Systems,2024-06-01,5,new_proving,0.972,0.857,0.745,7.95,5,5,5,0,0.0,65.4,359.0,,
VP-V022-202406,V022,Andean Precision SRL,2024-06-01,5,new_proving,0.843,1.0,0.716,7.24,2,2,2,1,0.111,75.5,480.0,0.0,7.0
VP-V023-202406,V023,Sahara Industrial FZE,2024-06-01,5,new_proving,0.911,0.752,0.691,6.97,2,2,2,0,0.0,74.4,383.0,,
VP-V024-202406,V024,BalticTech UAB,2024-06-01,5,new_proving,0.98,0.896,0.8,8.34,3,1,1,0,0.091,68.1,199.0,,
VP-V001-202407,V001,Kovacs Precision GmbH,2024-07-01,6,declining,0.923,0.946,0.903,9.28,2,1,1,0,0.125,70.9,144.0,,
VP-V002-202407,V002,Tanaka Electrical KK,2024-07-01,6,stable,1.014,0.913,0.766,8.93,6,6,6,0,0.172,72.7,349.0,,
VP-V003-202407,V003,Patel Alloys Pvt Ltd,2024-07-01,6,improving,0.957,0.882,0.786,7.81,1,1,1,0,0.0,66.8,367.0,,
VP-V004-202407,V004,Strömberg Hydraulics AB,2024-07-01,6,stable,1.021,0.91,0.875,9.1,2,2,2,0,0.174,73.8,278.0,,
VP-V005-202407,V005,Cerro Negro Metals SA,2024-07-01,6,stable,0.829,0.816,0.852,7.49,1,1,1,0,0.167,77.0,244.0,,
VP-V006-202407,V006,Bright Spark Electronics Ltd,2024-07-01,6,stable,0.967,1.0,0.693,7.33,6,5,5,2,0.172,81.2,496.0,1.0,0.0
VP-V007-202407,V007,Nakamura Tooling Co.,2024-07-01,6,stable,1.04,0.914,0.834,9.18,2,1,1,0,0.087,81.7,280.0,,
VP-V008-202407,V008,Delta Composites Inc.,2024-07-01,6,stable,0.898,0.763,0.789,7.65,1,0,0,0,0.167,90.4,263.0,,
VP-V009-202407,V009,Fischer & Söhne KG,2024-07-01,6,stable,1.041,1.0,0.89,8.92,2,1,1,1,0.217,80.3,283.0,1.0,0.0
VP-V010-202407,V010,Adriatic Fastenings d.o.o.,2024-07-01,6,stable,0.857,0.787,0.789,7.38,2,2,2,0,0.16,82.3,647.0,,
VP-V011-202407,V011,Solaris Power Components,2024-07-01,6,stable,0.983,0.744,0.668,6.96,6,3,3,0,0.034,92.2,373.0,,
VP-V012-202407,V012,Indra Copper Works,2024-07-01,6,improving,0.949,1.0,0.792,8.04,1,1,1,1,0.167,62.4,279.0,1.0,0.0
VP-V013-202407,V013,Vantage Sensors GmbH,2024-07-01,6,stable,0.984,0.858,0.778,8.92,6,6,6,0,0.345,72.6,214.0,,
VP-V014-202407,V014,Coastal Alloys Pty Ltd,2024-07-01,6,stable,0.929,0.878,0.8,8.02,1,1,1,0,0.0,75.5,431.0,,
VP-V015-202407,V015,Nordic Steel AS,2024-07-01,6,stable,0.971,0.932,0.88,9.09,1,1,1,0,0.333,68.0,170.0,,
VP-V016-202407,V016,Precision Arc Systems,2024-07-01,6,stable,0.916,0.5,0.622,7.09,6,5,5,2,0.207,83.0,228.0,1.0,0.0
VP-V017-202407,V017,Türk Makina A.Ş.,2024-07-01,6,stable,0.88,0.799,0.83,7.74,1,0,0,0,0.091,80.1,248.0,,
VP-V018-202407,V018,Guangzhou Mech & Elec Co.,2024-07-01,6,collapse,0.878,0.786,0.765,5.89,6,5,5,0,0.0,87.1,518.0,,
VP-V019-202407,V019,Emerald Isle Castings Ltd,2024-07-01,6,stable,1.034,1.0,0.864,8.4,1,1,1,1,0.125,72.7,240.0,0.0,20.0
VP-V020-202407,V020,Rajasthan Rare Earths Ltd,2024-07-01,6,improving,0.946,0.808,0.75,7.63,1,1,1,0,0.167,70.0,175.0,,
VP-V021-202407,V021,Helios Micro Systems,2024-07-01,6,new_proving,0.985,1.0,0.759,8.52,6,5,5,2,0.143,56.7,306.0,0.5,2.5
VP-V022-202407,V022,Andean Precision SRL,2024-07-01,6,new_proving,0.863,0.889,0.731,6.98,2,2,2,0,0.091,79.8,290.0,,
VP-V023-202407,V023,Sahara Industrial FZE,2024-07-01,6,new_proving,0.887,0.792,0.701,6.98,1,1,1,0,0.0,80.8,345.0,,
VP-V024-202407,V024,BalticTech UAB,2024-07-01,6,new_proving,0.968,0.895,0.873,8.43,2,2,2,0,0.077,59.8,313.0,,
VP-V001-202408,V001,Kovacs Precision GmbH,2024-08-01,7,declining,0.905,0.962,0.933,9.34,3,3,3,0,0.12,71.7,338.0,,
VP-V002-202408,V002,Tanaka Electrical KK,2024-08-01,7,stable,1.001,1.0,0.847,9.27,6,6,6,1,0.103,73.6,269.0,1.0,0.0
VP-V003-202408,V003,Patel Alloys Pvt Ltd,2024-08-01,7,improving,0.946,0.807,0.789,8.1,2,1,1,0,0.0,64.7,319.0,,
VP-V004-202408,V004,Strömberg Hydraulics AB,2024-08-01,7,stable,1.062,0.948,0.893,9.18,3,3,3,0,0.125,65.4,324.0,,
VP-V005-202408,V005,Cerro Negro Metals SA,2024-08-01,7,stable,0.84,0.79,0.843,7.43,2,1,1,0,0.0,76.0,387.0,,
VP-V006-202408,V006,Bright Spark Electronics Ltd,2024-08-01,7,stable,0.954,0.797,0.721,7.08,6,5,5,0,0.172,79.6,353.0,,
VP-V007-202408,V007,Nakamura Tooling Co.,2024-08-01,7,stable,1.028,0.978,0.822,8.74,3,3,3,0,0.083,73.7,227.0,,
VP-V008-202408,V008,Delta Composites Inc.,2024-08-01,7,stable,0.868,0.818,0.78,7.36,2,2,2,0,0.0,82.4,570.0,,
VP-V009-202408,V009,Fischer & Söhne KG,2024-08-01,7,stable,1.0,0.967,0.857,8.51,2,2,2,0,0.174,75.6,356.0,,
VP-V010-202408,V010,Adriatic Fastenings d.o.o.,2024-08-01,7,stable,0.87,1.0,0.852,7.31,3,3,3,2,0.231,83.7,535.0,1.0,0.0
VP-V011-202408,V011,Solaris Power Components,2024-08-01,7,stable,0.97,1.0,0.663,7.08,6,4,4,1,0.069,89.7,400.0,1.0,0.0
VP-V012-202408,V012,Indra Copper Works,2024-08-01,7,improving,0.937,0.903,0.868,8.46,2,2,2,0,0.167,66.1,238.0,,
VP-V013-202408,V013,Vantage Sensors GmbH,2024-08-01,7,stable,0.995,1.0,0.855,8.89,6,4,4,3,0.379,65.6,381.0,0.667,2.0
VP-V014-202408,V014,Coastal Alloys Pty Ltd,2024-08-01,7,stable,0.935,0.847,0.762,7.73,2,2,2,0,0.0,70.3,393.0,,
VP-V015-202408,V015,Nordic Steel AS,2024-08-01,7,stable,1.01,1.0,0.849,9.34,2,2,2,1,0.5,70.4,175.0,1.0,0.0
VP-V016-202408,V016,Precision Arc Systems,2024-08-01,7,stable,0.902,0.721,0.674,6.58,6,5,5,0,0.172,84.1,467.0,,
VP-V017-202408,V017,Türk Makina A.Ş.,2024-08-01,7,stable,0.837,0.78,0.854,6.79,2,1,1,0,0.091,76.4,386.0,,
VP-V018-202408,V018,Guangzhou Mech & Elec Co.,2024-08-01,7,collapse,0.87,0.771,0.7,5.75,6,4,4,0,0.0,89.2,409.0,,
VP-V019-202408,V019,Emerald Isle Castings Ltd,2024-08-01,7,stable,1.019,0.907,0.886,8.51,3,3,3,0,0.12,67.8,105.0,,
VP-V020-202408,V020,Rajasthan Rare Earths Ltd,2024-08-01,7,improving,0.928,0.864,0.77,7.62,2,1,1,0,0.167,66.8,523.0,,
VP-V021-202408,V021,Helios Micro Systems,2024-08-01,7,new_proving,0.962,1.0,0.806,8.21,6,6,6,1,0.15,60.2,288.0,1.0,0.0
VP-V022-202408,V022,Andean Precision SRL,2024-08-01,7,new_proving,0.845,0.0,0.72,6.84,3,2,2,1,0.143,79.6,345.0,0.0,28.0
VP-V023-202408,V023,Sahara Industrial FZE,2024-08-01,7,new_proving,0.926,1.0,0.645,6.93,2,2,2,1,0.2,83.5,379.0,1.0,0.0
VP-V024-202408,V024,BalticTech UAB,2024-08-01,7,new_proving,0.986,0.844,0.829,7.91,2,2,2,0,0.067,66.5,440.0,,
VP-V001-202409,V001,Kovacs Precision GmbH,2024-09-01,8,declining,0.911,0.943,0.934,8.96,3,2,2,0,0.136,72.5,240.0,,
